playcount,name,tags,similar_artists
17,Scarlett Johansson,"female vocalists, dream pop, folk, jazz, pop","Pete Yorn & Scarlett Johansson, Tori Kelly, She & Him, Hope Sandoval & The Warm Inventions, Mazzy Star, Sol Seppy, Charlotte Gainsbourg, Widowspeak, Zooey Deschanel, Cat Power"
17,Secos & Molhados,"mpb, psychedelic, brazilian, brasil, rock","Os Mutantes, Belchior, Novos Baianos, Ney Matogrosso, Gilberto Gil, Milton Nascimento, Tom Zé, Caetano Veloso, Cartola, Raul Seixas"
17,Talk Talk,"new wave, post-rock, 80s, synth pop, pop","Mark Hollis, Japan, Tears for Fears, Bark Psychosis, Simple Minds, Soft Cell, Orchestral Manoeuvres in the Dark, Ultravox, Duran Duran, China Crisis"
17,The Band,"classic rock, rock, folk rock, folk, americana","Levon Helm, Bob Dylan and The Band, Bob Dylan, Crosby, Stills, Nash & Young, The Byrds, Van Morrison, Buffalo Springfield, Neil Young, Stephen Stills, Crosby, Stills & Nash"
17,The Cardigans,"pop, rock, female vocalists, swedish, alternative","A Camp, Nina Persson, Garbage, Sixpence None the Richer, Natalie Imbruglia, The Cranberries, Sheryl Crow, The Corrs, Sophie Ellis-Bextor, No Doubt"
17,Vetiver,"folk, indie, freak folk, New Weird America, acoustic","Fruit Bats, Devendra Banhart, Bowerbirds, M. Ward, Horse Feathers, The Cave Singers, Great Lake Swimmers, Blitzen Trapper, Iron & Wine, Damien Jurado"
16,Jorge Mautner,"mpb, tropicalia, brazilian, brasil, brazilian music","JARDS MACALÉ, Itamar Assumpção, Sérgio Sampaio, Tom Zé, Gilberto Gil, Luiz Melodia, Caetano Veloso, Walter Franco, Ednardo, Karina Buhr"
16,Moraes Moreira,"mpb, brazilian, brasil, seen live, samba","Gilberto Gil, Luiz Melodia, Alceu Valença, Erasmo Carlos, Jair Rodrigues, JARDS MACALÉ, Novos Baianos, João Bosco, Sérgio Sampaio, Pepeu Gomes"
16,New Order,"new wave, electronic, post-punk, 80s, alternative","Electronic, Joy Division, The Cure, The Smiths, Orchestral Manoeuvres in the Dark, Monaco, Echo & the Bunnymen, Depeche Mode, Pet Shop Boys, Erasure"
16,Nick Drake,"folk, singer-songwriter, acoustic, indie, Mellow","Elliott Smith, Jackson C. Frank, Tim Buckley, Bert Jansch, John Martyn, Sibylle Baier, Molly Drake, Sufjan Stevens, Sun Kil Moon, Vashti Bunyan"
16,Siouxsie and the Banshees,"post-punk, new wave, 80s, Gothic, goth","The Creatures, Bauhaus, Siouxsie, Skeletal Family, The Sisters of Mercy, Alien Sex Fiend, Xmal Deutschland, Christian Death, The Cure, Sex Gang Children"
16,Stephen Malkmus and the Jicks,"seen live, indie rock, indie, alternative, rock","Stephen Malkmus, Pavement, Silver Jews, Superchunk, Eleanor Friedberger, Built to Spill, Parquet Courts, Guided by Voices, Sebadoh, The Sea and Cake"
